"ensembl"	"gene"	"Chromosome"	"Start"	"End"
"ENSG00000102452"	"NALCN"	"chr13"	101053776	101416508
"ENSG00000198542"	"ITGBL1"	"chr13"	101452593	101720856
"ENSG00000102466"	"FGF14"	"chr13"	101710804	102402457
"ENSG00000243319"	"FGF14-IT1"	"chr13"	102292327	102394519
"ENSG00000270181"	"BIVM-ERCC5"	"chr13"	102799110	102875994
"ENSG00000134897"	"BIVM"	"chr13"	102799119	102841533
"ENSG00000204442"	"FAM155A"	"chr13"	107163510	107867496
"ENSG00000227248"	"FAM155A-IT1"	"chr13"	107788342	107835451
"ENSG00000185950"	"IRS2"	"chr13"	109752695	109786583
"ENSG00000134871"	"COL4A2"	"chr13"	110305812	110513209
"ENSG00000225870"	"LINC00368"	"chr13"	111095838	111103097
"ENSG00000235875"	"ARHGEF7-AS2"	"chr13"	111113812	111115678
"ENSG00000102606"	"ARHGEF7"	"chr13"	111114559	111305737
"ENSG00000153495"	"TEX29"	"chr13"	111316184	111344249
"ENSG00000224243"	"SOX1-OT"	"chr13"	112056845	112108015
"ENSG00000182968"	"SOX1"	"chr13"	112067149	112071706
"ENSG00000068650"	"ATP11A"	"chr13"	112690038	112887168
"ENSG00000126217"	"MCF2L"	"chr13"	112894378	113099742
"ENSG00000235280"	"MCF2L-AS1"	"chr13"	112967484	112968824
"ENSG00000057593"	"F7"	"chr13"	113105788	113120685
"ENSG00000126218"	"F10"	"chr13"	113122799	113149529
"ENSG00000126231"	"PROZ"	"chr13"	113158648	113172386
"ENSG00000153531"	"ADPRHL1"	"chr13"	113399610	113453524
"ENSG00000185974"	"GRK1"	"chr13"	113667219	113737736
"ENSG00000279770"	"LINC00552"	"chr13"	113748511	113751089
"ENSG00000184497"	"TMEM255B"	"chr13"	113759226	113816995
"ENSG00000233695"	"GAS6-AS1"	"chr13"	113815630	113845744
"ENSG00000183087"	"GAS6"	"chr13"	113820549	113864076
"ENSG00000283199"	"C13orf46"	"chr13"	113953705	113974076
"ENSG00000185989"	"RASA3"	"chr13"	113977783	114132623
"ENSG00000257504"	"LINC02297"	"chr14"	18630318	18633634
"ENSG00000257853"	"MED15P1"	"chr14"	18912805	18916642
"ENSG00000222036"	"POTEM"	"chr14"	18967434	19003752
"ENSG00000274369"	"GRAMD4P4"	"chr14"	19026521	19028189
"ENSG00000225210"	"DUXAP9"	"chr14"	19062316	19131167
"ENSG00000277710"	"NBEAP5"	"chr14"	19130636	19155089
"ENSG00000285990"	"NBEAP6"	"chr14"	19244904	19269380
"ENSG00000277156"	"TOMM40P1"	"chr14"	19267115	19268164
"ENSG00000228294"	"BMS1P17"	"chr14"	19301704	19316914
"ENSG00000274827"	"LINC01297"	"chr14"	19344578	19384587
"ENSG00000187537"	"POTEG"	"chr14"	19402486	19434341
"ENSG00000257162"	"MED15P6"	"chr14"	19485336	19489148
"ENSG00000176294"	"OR4N2"	"chr14"	19719015	19830253
"ENSG00000176299"	"OR4M1"	"chr14"	19773504	19783696
"ENSG00000259144"	"RANBP20P"	"chr14"	20720742	20723127
"ENSG00000165795"	"NDRG2"	"chr14"	21016763	21070872
"ENSG00000165801"	"ARHGEF40"	"chr14"	21070273	21090248
"ENSG00000255582"	"OR10G2"	"chr14"	21633836	21634940
"ENSG00000276240"	"OR4E1"	"chr14"	21667886	21673818
"ENSG00000139880"	"CDH24"	"chr14"	23047062	23057538
"ENSG00000092096"	"SLC22A17"	"chr14"	23346306	23352912
"ENSG00000092054"	"MYH7"	"chr14"	23412740	23435660
"ENSG00000186648"	"CARMIL3"	"chr14"	24052009	24069729
"ENSG00000100884"	"CPNE6"	"chr14"	24070837	24078100
"ENSG00000129535"	"NRL"	"chr14"	24078662	24115010
"ENSG00000092295"	"TGM1"	"chr14"	24249114	24264432
"ENSG00000100949"	"RABGGTA"	"chr14"	24265538	24271611
"ENSG00000100968"	"NFATC4"	"chr14"	24365673	24379604
"ENSG00000205978"	"NYNRIN"	"chr14"	24399003	24419283
"ENSG00000100453"	"GZMB"	"chr14"	24630954	24634267
"ENSG00000186960"	"LINC01551"	"chr14"	28765640	28823817
"ENSG00000176165"	"FOXG1"	"chr14"	28766787	28770277
"ENSG00000168348"	"INSM2"	"chr14"	35534164	35537054
"ENSG00000136352"	"NKX2-1"	"chr14"	36516392	36521149
"ENSG00000136327"	"NKX2-8"	"chr14"	36580004	36582614
"ENSG00000183032"	"SLC25A21"	"chr14"	36677921	37172606
"ENSG00000165379"	"LRFN5"	"chr14"	41606876	41904549
"ENSG00000139915"	"MDGA2"	"chr14"	46839629	47675605
"ENSG00000100504"	"PYGL"	"chr14"	50857891	50944483
"ENSG00000131969"	"ABHD12B"	"chr14"	50872053	50904970
"ENSG00000100505"	"TRIM9"	"chr14"	50975262	51096061
"ENSG00000125384"	"PTGER2"	"chr14"	52314305	52328598
"ENSG00000165588"	"OTX2"	"chr14"	56799905	56816693
"ENSG00000248550"	"OTX2-AS1"	"chr14"	56813183	57152177
"ENSG00000151812"	"SLC35F4"	"chr14"	57563920	57982194
"ENSG00000165617"	"DACT1"	"chr14"	58633967	58648321
"ENSG00000139970"	"RTN1"	"chr14"	59595976	59870776
"ENSG00000179008"	"C14orf39"	"chr14"	60396469	60515543
"ENSG00000139973"	"SYT16"	"chr14"	61811974	62112550
"ENSG00000140015"	"KCNH5"	"chr14"	62699464	63102037
"ENSG00000126822"	"PLEKHG3"	"chr14"	64704102	64750249
"ENSG00000070182"	"SPTB"	"chr14"	64746283	64879907
"ENSG00000125954"	"CHURC1-FNTB"	"chr14"	64914485	65061803
"ENSG00000139998"	"RAB15"	"chr14"	64945814	64973226
"ENSG00000172717"	"FAM71D"	"chr14"	67189393	67228550
"ENSG00000054690"	"PLEKHH1"	"chr14"	67533290	67589612
"ENSG00000100626"	"GALNT16"	"chr14"	69259277	69357033
"ENSG00000175985"	"PLEKHD1"	"chr14"	69484692	69531551
"ENSG00000267909"	"CCDC177"	"chr14"	69569799	69574871
"ENSG00000198732"	"SMOC1"	"chr14"	69854131	70032366
"ENSG00000100678"	"SLC8A3"	"chr14"	70044215	70189070
"ENSG00000235812"	"ADAM21P1"	"chr14"	70245491	70247801
"ENSG00000133985"	"TTC9"	"chr14"	70641916	70675366
"ENSG00000182732"	"RGS6"	"chr14"	71932429	72566530
"ENSG00000100767"	"PAPLN"	"chr14"	73237497	73274640
"ENSG00000156030"	"MIDEAS"	"chr14"	73715122	73790285
"ENSG00000119614"	"VSX2"	"chr14"	74239449	74262738
"ENSG00000183379"	"SYNDIG1L"	"chr14"	74405894	74426210
"ENSG00000119681"	"LTBP2"	"chr14"	74498183	74612378
"ENSG00000198208"	"RPS6KL1"	"chr14"	74903951	74923302
"ENSG00000119630"	"PGF"	"chr14"	74941834	74955626
"ENSG00000119686"	"FLVCR2"	"chr14"	75578620	75663214
"ENSG00000119715"	"ESRRB"	"chr14"	76310712	76501837
"ENSG00000071246"	"VASH1"	"chr14"	76761468	76783015
"ENSG00000119669"	"IRF2BPL"	"chr14"	77024543	77028708
"ENSG00000165548"	"TMEM63C"	"chr14"	77116568	77259495
"ENSG00000177108"	"ZDHHC22"	"chr14"	77131270	77142734
"ENSG00000165553"	"NGB"	"chr14"	77265483	77271206
"ENSG00000009830"	"POMT2"	"chr14"	77274956	77320883
"ENSG00000100593"	"ISM2"	"chr14"	77474394	77498816
"ENSG00000021645"	"NRXN3"	"chr14"	78170373	79868291
"ENSG00000100433"	"KCNK10"	"chr14"	88180103	88326907
"ENSG00000165521"	"EML5"	"chr14"	88612431	88792752
"ENSG00000152315"	"KCNK13"	"chr14"	90061994	90185853
"ENSG00000165914"	"TTC7B"	"chr14"	90524564	90816479
"ENSG00000015133"	"CCDC88C"	"chr14"	91271323	91417844
"ENSG00000165929"	"TC2N"	"chr14"	91779746	91867536
"ENSG00000140090"	"SLC24A4"	"chr14"	92322581	92501481
"ENSG00000100604"	"CHGA"	"chr14"	92923150	92935285
"ENSG00000100605"	"ITPK1"	"chr14"	92936914	93116320
"ENSG00000133958"	"UNC79"	"chr14"	93333219	93707876
"ENSG00000175785"	"PRIMA1"	"chr14"	93718298	93788485
"ENSG00000186910"	"SERPINA11"	"chr14"	94442464	94452800
"ENSG00000170054"	"SERPINA9"	"chr14"	94462717	94479689
"ENSG00000165953"	"SERPINA12"	"chr14"	94487274	94517844
"ENSG00000196136"	"SERPINA3"	"chr14"	94612384	94624055
"ENSG00000258805"	"ADIPOR1P2"	"chr14"	94631863	94634528
"ENSG00000250366"	"TUNAR"	"chr14"	95876392	95925663
"ENSG00000258979"	"LINC02299"	"chr14"	96738021	96793084
"ENSG00000127152"	"BCL11B"	"chr14"	99169287	99272197
"ENSG00000090061"	"CCNK"	"chr14"	99481169	99535044
"ENSG00000205476"	"CCDC85C"	"chr14"	99500190	99604207
"ENSG00000036530"	"CYP46A1"	"chr14"	99684298	99727301
"ENSG00000066629"	"EML1"	"chr14"	99737693	99942060
"ENSG00000196405"	"EVL"	"chr14"	99971449	100144236
"ENSG00000168350"	"DEGS2"	"chr14"	100143957	100159645
"ENSG00000197119"	"SLC25A29"	"chr14"	100291116	100306547
"ENSG00000140107"	"SLC25A47"	"chr14"	100323339	100330421
"ENSG00000183092"	"BEGAIN"	"chr14"	100537147	100587413
"ENSG00000196273"	"LINC00523"	"chr14"	100657250	100676069
"ENSG00000185559"	"DLK1"	"chr14"	100725705	100738224
"ENSG00000214548"	"MEG3"	"chr14"	100779410	100861031
"ENSG00000254656"	"RTL1"	"chr14"	100879753	100903722
"ENSG00000225746"	"MEG8"	"chr14"	100894770	101038859
"ENSG00000259023"	"LINC00524"	"chr14"	101405984	101408258
"ENSG00000259082"	"LINC02314"	"chr14"	101442076	101444315
"ENSG00000258498"	"DIO3OS"	"chr14"	101552221	101560431
"ENSG00000197406"	"DIO3"	"chr14"	101561351	101563452
"ENSG00000258404"	"LINC02320"	"chr14"	101634454	101731108
"ENSG00000080824"	"HSP90AA1"	"chr14"	102080742	102139699
"ENSG00000196663"	"TECPR2"	"chr14"	102362941	102502477
"ENSG00000283071"	"LBHD2"	"chr14"	103084210	103090027
"ENSG00000205436"	"EXOC3L4"	"chr14"	103100144	103110559
"ENSG00000259717"	"LINC00677"	"chr14"	103120847	103123007
"ENSG00000185215"	"TNFAIP2"	"chr14"	103121476	103137439
"ENSG00000166165"	"CKB"	"chr14"	103519667	103522833
"ENSG00000166166"	"TRMT61A"	"chr14"	103529196	103537073
"ENSG00000126214"	"KLC1"	"chr14"	103561896	103714249
"ENSG00000126215"	"XRCC3"	"chr14"	103697609	103715504
"ENSG00000258735"	"LINC00637"	"chr14"	103847721	103858049
"ENSG00000166183"	"ASPG"	"chr14"	104085686	104115582
"ENSG00000066735"	"KIF26A"	"chr14"	104138587	104180894
"ENSG00000258913"	"LINC02691"	"chr14"	104223584	104288069
"ENSG00000258986"	"TMEM179"	"chr14"	104474678	104605647
"ENSG00000184601"	"C14orf180"	"chr14"	104579764	104590515
"ENSG00000203485"	"INF2"	"chr14"	104681146	104722535
"ENSG00000185100"	"ADSS1"	"chr14"	104724229	104747325
"ENSG00000142208"	"AKT1"	"chr14"	104769349	104795751
"ENSG00000179627"	"ZBTB42"	"chr14"	104800596	104804712
"ENSG00000258701"	"LINC00638"	"chr14"	104821201	104823718
"ENSG00000099814"	"CEP170B"	"chr14"	104865268	104896770
"ENSG00000166428"	"PLD4"	"chr14"	104924713	104937761
"ENSG00000185567"	"AHNAK2"	"chr14"	104937244	104978374
"ENSG00000183484"	"GPR132"	"chr14"	105049395	105065445
"ENSG00000257556"	"LINC02298"	"chr14"	105093609	105100131
"ENSG00000184916"	"JAG2"	"chr14"	105140982	105168824
"ENSG00000183828"	"NUDT14"	"chr14"	105172938	105181323
"ENSG00000185024"	"BRF1"	"chr14"	105209286	105315589
"ENSG00000184887"	"BTBD6"	"chr14"	105248533	105251093
"ENSG00000179364"	"PACS2"	"chr14"	105300563	105398147
"ENSG00000226174"	"TEX22"	"chr14"	105398538	105450106
"ENSG00000182979"	"MTA1"	"chr14"	105419820	105470729
"ENSG00000182809"	"CRIP2"	"chr14"	105472962	105480162
"ENSG00000213145"	"CRIP1"	"chr14"	105486317	105488947
"ENSG00000185347"	"TEDC1"	"chr14"	105489855	105499575
"ENSG00000184986"	"TMEM121"	"chr14"	105526583	105530202
"ENSG00000211890"	"IGHA2"	"chr14"	105583731	105588395
"ENSG00000211891"	"IGHE"	"chr14"	105597691	105601728
"ENSG00000211892"	"IGHG4"	"chr14"	105620506	105626066
"ENSG00000211893"	"IGHG2"	"chr14"	105639559	105644790
"ENSG00000253755"	"IGHGP"	"chr14"	105664633	105669843
"ENSG00000213140"	"ELK2AP"	"chr14"	105672308	105673314
"ENSG00000211895"	"IGHA1"	"chr14"	105703995	105708665
"ENSG00000211896"	"IGHG1"	"chr14"	105736343	105743071
"ENSG00000211897"	"IGHG3"	"chr14"	105764503	105771405
"ENSG00000211898"	"IGHD"	"chr14"	105836765	105845677
"ENSG00000211899"	"IGHM"	"chr14"	105851705	105856218
"ENSG00000258780"	"BMS1P15"	"chr15"	20153776	20160826
"ENSG00000258628"	"RHPN2P1"	"chr15"	20228620	20277503
"ENSG00000259156"	"CHEK2P2"	"chr15"	20282744	20291586
"ENSG00000180229"	"HERC2P3"	"chr15"	20379495	20506180
"ENSG00000181984"	"GOLGA8CP"	"chr15"	20562375	20575696
"ENSG00000258710"	"LINC01193"	"chr15"	20940380	21058440
"ENSG00000258684"	"BMS1P16"	"chr15"	21160305	21167357
"ENSG00000185182"	"GOLGA8EP"	"chr15"	22427039	22437902
"ENSG00000277865"	"GOLGA6L22"	"chr15"	22458903	22469230
"ENSG00000276550"	"HERC2P2"	"chr15"	22495570	22590815
"ENSG00000273749"	"CYFIP1"	"chr15"	22867052	22981063
"ENSG00000175676"	"GOLGA8DP"	"chr15"	23157366	23170711
"ENSG00000261739"	"GOLGA8S"	"chr15"	23354748	23367231
"ENSG00000206190"	"ATP10A"	"chr15"	25677271	25865184
"ENSG00000206187"	"LINC02346"	"chr15"	25902119	26053123
"ENSG00000259150"	"LINC00929"	"chr15"	26115726	26134001
"ENSG00000166206"	"GABRB3"	"chr15"	26543546	26939539
"ENSG00000186297"	"GABRA5"	"chr15"	26866911	26949208
"ENSG00000182256"	"GABRG3"	"chr15"	26971181	27541984
"ENSG00000153684"	"GOLGA8F"	"chr15"	28378621	28392018
"ENSG00000034053"	"APBA2"	"chr15"	28884483	29118315
"ENSG00000104059"	"FAM189A1"	"chr15"	29120252	29570979
"ENSG00000261247"	"GOLGA8T"	"chr15"	30135149	30145567
"ENSG00000134160"	"TRPM1"	"chr15"	31001061	31161273
"ENSG00000169926"	"KLF13"	"chr15"	31326835	31435665
"ENSG00000175344"	"CHRNA7"	"chr15"	31923438	32173018
"ENSG00000261064"	"LINC02256"	"chr15"	32536047	32587613
"ENSG00000259446"	"RYR3-DT"	"chr15"	33293568	33310659
"ENSG00000198838"	"RYR3"	"chr15"	33310962	33866121
"ENSG00000215252"	"GOLGA8B"	"chr15"	34525095	34588503
"ENSG00000172575"	"RASGRP1"	"chr15"	38488103	38565575
"ENSG00000137843"	"PAK6"	"chr15"	40217428	40277487
"ENSG00000137841"	"PLCB2"	"chr15"	40278176	40307935
"ENSG00000230778"	"ANKRD63"	"chr15"	40278372	40283064
"ENSG00000188549"	"CCDC9B"	"chr15"	40331452	40340967
"ENSG00000140323"	"DISP2"	"chr15"	40358219	40378621
"ENSG00000104142"	"VPS18"	"chr15"	40894450	40903975
"ENSG00000128917"	"DLL4"	"chr15"	40929340	40939073
"ENSG00000137825"	"ITPKA"	"chr15"	41493393	41503551
"ENSG00000137802"	"MAPKBP1"	"chr15"	41774434	41827855
"ENSG00000137877"	"SPTBN5"	"chr15"	41848146	41894053
"ENSG00000188089"	"PLA2G4E"	"chr15"	41981582	42051190
"ENSG00000159337"	"PLA2G4D"	"chr15"	42067009	42094562
"ENSG00000166947"	"EPB42"	"chr15"	43197227	43221018
"ENSG00000166963"	"MAP1A"	"chr15"	43510958	43531620
"ENSG00000140279"	"DUOX2"	"chr15"	45092650	45114172
"ENSG00000138606"	"SHF"	"chr15"	45167214	45201175
"ENSG00000166147"	"FBN1"	"chr15"	48408313	48645721
"ENSG00000259240"	"MIR4713HG"	"chr15"	51037488	51293912
"ENSG00000183578"	"TNFAIP8L3"	"chr15"	51056598	51105276
"ENSG00000128918"	"ALDH1A2"	"chr15"	57953424	58497866
"ENSG00000171956"	"FOXB1"	"chr15"	60004234	60061730
"ENSG00000035664"	"DAPK2"	"chr15"	63907036	64072033
"ENSG00000166839"	"ANKDD1A"	"chr15"	64911902	64958691
"ENSG00000174498"	"IGDCC3"	"chr15"	65327127	65378002
"ENSG00000103742"	"IGDCC4"	"chr15"	65381484	65422947
"ENSG00000157890"	"MEGF11"	"chr15"	65895079	66253750
"ENSG00000261318"	"DIS3L-AS1"	"chr15"	66278498	66293357
"ENSG00000188501"	"LCTL"	"chr15"	66547179	66565979
"ENSG00000259471"	"LINC01169"	"chr15"	66582190	66685794
"ENSG00000137834"	"SMAD6"	"chr15"	66702236	66782849
"ENSG00000259289"	"LINC02206"	"chr15"	66931537	66956518
"ENSG00000166949"	"SMAD3"	"chr15"	67063763	67195173
"ENSG00000188779"	"SKOR1"	"chr15"	67819704	67834582
"ENSG00000137809"	"ITGA11"	"chr15"	68296532	68432163
"ENSG00000103647"	"CORO2B"	"chr15"	68578993	68727806
"ENSG00000137819"	"PAQR5"	"chr15"	69298912	69407780
"ENSG00000245750"	"DRAIC"	"chr15"	69462921	69843120
"ENSG00000140332"	"TLE3"	"chr15"	70047790	70098176
"ENSG00000175318"	"GRAMD2A"	"chr15"	72159806	72197787
"ENSG00000215186"	"GOLGA6B"	"chr15"	72654738	72666394
"ENSG00000138622"	"HCN4"	"chr15"	73319859	73368958
"ENSG00000205363"	"INSYN1"	"chr15"	73735458	73753351
"ENSG00000261801"	"LOXL1-AS1"	"chr15"	73908071	73928248
"ENSG00000129038"	"LOXL1"	"chr15"	73925989	73952137
"ENSG00000067221"	"STOML1"	"chr15"	73978926	73994622
"ENSG00000159289"	"GOLGA6A"	"chr15"	74069857	74082550
"ENSG00000167178"	"ISLR2"	"chr15"	74100311	74138540
"ENSG00000129009"	"ISLR"	"chr15"	74173710	74176872
"ENSG00000137868"	"STRA6"	"chr15"	74179466	74212267
"ENSG00000140481"	"CCDC33"	"chr15"	74202705	74336472
"ENSG00000277718"	"LINC02255"	"chr15"	74379083	74390535
"ENSG00000138623"	"SEMA7A"	"chr15"	74409289	74433958
"ENSG00000179335"	"CLK3"	"chr15"	74598500	74645414
"ENSG00000140506"	"LMAN1L"	"chr15"	74812716	74825757
"ENSG00000213578"	"CPLX3"	"chr15"	74826627	74831802
"ENSG00000140474"	"ULK3"	"chr15"	74836118	74843346
"ENSG00000178718"	"RPP25"	"chr15"	74954418	74956772
"ENSG00000167195"	"GOLGA6C"	"chr15"	75258599	75270199
"ENSG00000140478"	"GOLGA6D"	"chr15"	75282835	75295807
"ENSG00000140398"	"NEIL1"	"chr15"	75346955	75357115
"ENSG00000173548"	"SNX33"	"chr15"	75647912	75662301
"ENSG00000173546"	"CSPG4"	"chr15"	75674322	75712848
"ENSG00000246877"	"DNM1P35"	"chr15"	75727670	75738623
"ENSG00000169758"	"TMEM266"	"chr15"	76059958	76229121
"ENSG00000140368"	"PSTPIP1"	"chr15"	76993359	77037475
"ENSG00000169783"	"LINGO1"	"chr15"	77613027	77820900
"ENSG00000259281"	"LINGO1-AS2"	"chr15"	77660052	77668074
"ENSG00000214646"	"COMMD4P1"	"chr15"	77941442	77944582
"ENSG00000261143"	"ADAMTS7P3"	"chr15"	77976042	77993057
"ENSG00000167202"	"TBC1D2B"	"chr15"	77984036	78077724
"ENSG00000183476"	"SH2D7"	"chr15"	78077808	78104370
"ENSG00000136425"	"CIB2"	"chr15"	78104606	78131535
"ENSG00000103740"	"ACSBG1"	"chr15"	78167468	78245688
"ENSG00000080644"	"CHRNA3"	"chr15"	78593052	78621295
"ENSG00000136378"	"ADAMTS7"	"chr15"	78759206	78811464
"ENSG00000103811"	"CTSH"	"chr15"	78921058	78949574
"ENSG00000058335"	"RASGRF1"	"chr15"	78959906	79090780
"ENSG00000259234"	"ANKRD34C-AS1"	"chr15"	79141939	79283949
"ENSG00000235711"	"ANKRD34C"	"chr15"	79282722	79298239
"ENSG00000169330"	"MINAR1"	"chr15"	79432336	79472304
"ENSG00000259417"	"CTXND1"	"chr15"	80195481	80252213
"ENSG00000172379"	"ARNT2"	"chr15"	80404350	80597933
"ENSG00000103888"	"CEMIP"	"chr15"	80779343	80951776
"ENSG00000259343"	"TMC3-AS1"	"chr15"	81324338	81518200
"ENSG00000274376"	"ADAMTS7P1"	"chr15"	82298553	82334609
"ENSG00000278662"	"GOLGA6L10"	"chr15"	82339993	82349475
"ENSG00000276710"	"CSPG4P10"	"chr15"	82459472	82477258
"ENSG00000255769"	"GOLGA2P10"	"chr15"	82472993	82513950
"ENSG00000277741"	"GOLGA6L17P"	"chr15"	82519590	82526412
"ENSG00000259462"	"CPEB1-AS1"	"chr15"	82647770	82692820
"ENSG00000103723"	"AP3B2"	"chr15"	82659281	82710112
"ENSG00000169594"	"BNC1"	"chr15"	83255884	83284664
"ENSG00000156218"	"ADAMTSL3"	"chr15"	83654088	84039842
"ENSG00000197696"	"NMB"	"chr15"	84655129	84658563
"ENSG00000136383"	"ALPK3"	"chr15"	84817356	84873479
"ENSG00000259295"	"CSPG4P12"	"chr15"	85191438	85213905
"ENSG00000218052"	"ADAMTS7P4"	"chr15"	85255369	85330334
"ENSG00000183655"	"KLHL25"	"chr15"	85759326	85794925
"ENSG00000140538"	"NTRK3"	"chr15"	87859751	88256768
"ENSG00000260305"	"NTRK3-AS1"	"chr15"	88252730	88271066
"ENSG00000249487"	"LINC01586"	"chr15"	88585566	88605110
"ENSG00000172183"	"ISG20"	"chr15"	88635670	88656483
"ENSG00000157766"	"ACAN"	"chr15"	88803436	88875353
"ENSG00000140511"	"HAPLN3"	"chr15"	88877294	88895597
"ENSG00000255571"	"MIR9-3HG"	"chr15"	89361579	89398487
"ENSG00000140519"	"RHCG"	"chr15"	89471398	89496589
"ENSG00000188095"	"MESP2"	"chr15"	89760591	89778754
"ENSG00000166825"	"ANPEP"	"chr15"	89784895	89815401
"ENSG00000185033"	"SEMA4B"	"chr15"	90160604	90229679
"ENSG00000140564"	"FURIN"	"chr15"	90868588	90883564
"ENSG00000214432"	"VPS33B-DT"	"chr15"	91022619	91036611
"ENSG00000185518"	"SV2B"	"chr15"	91099950	91302565
"ENSG00000176463"	"SLCO3A1"	"chr15"	91853708	92172435
"ENSG00000140557"	"ST8SIA2"	"chr15"	92393881	92468728
"ENSG00000182175"	"RGMA"	"chr15"	93035273	93089204
"ENSG00000185551"	"NR2F2"	"chr15"	96325938	96340263
"ENSG00000182253"	"SYNM"	"chr15"	99098217	99135593
"ENSG00000140470"	"ADAMTS17"	"chr15"	99971437	100342005
"ENSG00000184254"	"ALDH1A3"	"chr15"	100877714	100916626
"ENSG00000154237"	"LRRK1"	"chr15"	100919327	101078257
"ENSG00000131873"	"CHSY1"	"chr15"	101175727	101252048
"ENSG00000140479"	"PCSK6"	"chr15"	101289784	101525202
"ENSG00000185596"	"WASH3P"	"chr15"	101961603	101976543
"ENSG00000234769"	"WASH4P"	"chr16"	14381	18068
"ENSG00000226942"	"IL9RP3"	"chr16"	29336	38321
"ENSG00000007384"	"RHBDF1"	"chr16"	58059	76355
"ENSG00000103152"	"MPG"	"chr16"	77007	85851
"ENSG00000103148"	"NPRL3"	"chr16"	84271	138677
"ENSG00000130656"	"HBZ"	"chr16"	142728	154503
"ENSG00000206177"	"HBM"	"chr16"	153892	166764
"ENSG00000206178"	"HBZP1"	"chr16"	163122	165156
"ENSG00000167930"	"FAM234A"	"chr16"	234521	272183
"ENSG00000076344"	"RGS11"	"chr16"	268301	275980
"ENSG00000242173"	"ARHGDIG"	"chr16"	280450	283010
"ENSG00000185615"	"PDIA2"	"chr16"	283164	287215
"ENSG00000103126"	"AXIN1"	"chr16"	287440	352723
"ENSG00000086504"	"MRPL28"	"chr16"	366969	371289
"ENSG00000129925"	"PGAP6"	"chr16"	370788	387113
"ENSG00000103202"	"NME4"	"chr16"	396725	410367
"ENSG00000090565"	"RAB11FIP3"	"chr16"	425649	523011
"ENSG00000103326"	"CAPN15"	"chr16"	527712	554636
"ENSG00000161992"	"PRR35"	"chr16"	560394	565529
"ENSG00000007541"	"PIGQ"	"chr16"	566995	584109
"ENSG00000257108"	"NHLRC4"	"chr16"	567005	569495
"ENSG00000197562"	"RAB40C"	"chr16"	589357	629272
"ENSG00000127578"	"WFIKKN1"	"chr16"	629239	634117
"ENSG00000130731"	"METTL26"	"chr16"	634427	636366
"ENSG00000172366"	"MCRIP2"	"chr16"	636817	648474
"ENSG00000161996"	"WDR90"	"chr16"	649311	667833
"ENSG00000140983"	"RHOT2"	"chr16"	668105	674174
"ENSG00000103269"	"RHBDL1"	"chr16"	675671	678268
"ENSG00000260394"	"LINC02867"	"chr16"	678504	679777
"ENSG00000103266"	"STUB1"	"chr16"	680224	682870
"ENSG00000161999"	"JMJD8"	"chr16"	681670	684528
"ENSG00000127585"	"FBXL16"	"chr16"	692498	705808
"ENSG00000103260"	"METRN"	"chr16"	715118	719655
"ENSG00000103254"	"ANTKMT"	"chr16"	720581	722590
"ENSG00000162004"	"CCDC78"	"chr16"	722582	726954
"ENSG00000103253"	"HAGHL"	"chr16"	726936	735525
"ENSG00000103245"	"CIAO3"	"chr16"	729760	741329
"ENSG00000102854"	"MSLN"	"chr16"	760734	768865
"ENSG00000162006"	"MSLNL"	"chr16"	769428	783370
"ENSG00000007376"	"RPUSD1"	"chr16"	784974	788397
"ENSG00000127586"	"CHTF18"	"chr16"	788046	800737
"ENSG00000103227"	"LMF1"	"chr16"	853634	981318
"ENSG00000260439"	"LMF1-AS1"	"chr16"	921033	934495
"ENSG00000260807"	"CEROX1"	"chr16"	975761	981596
"ENSG00000005513"	"SOX8"	"chr16"	981770	986979
"ENSG00000261713"	"SSTR5-AS1"	"chr16"	1064093	1078731
"ENSG00000162009"	"SSTR5"	"chr16"	1078781	1080142
"ENSG00000184471"	"C1QTNF8"	"chr16"	1088226	1096244
"ENSG00000196557"	"CACNA1H"	"chr16"	1153106	1221771
"ENSG00000116176"	"TPSG1"	"chr16"	1221651	1225257
"ENSG00000197253"	"TPSB2"	"chr16"	1227272	1230184
"ENSG00000172236"	"TPSAB1"	"chr16"	1240379	1242554
"ENSG00000103275"	"UBE2I"	"chr16"	1308880	1327018
"ENSG00000007516"	"BAIAP3"	"chr16"	1333638	1349441
"ENSG00000090581"	"GNPTG"	"chr16"	1351931	1365737
"ENSG00000059145"	"UNKL"	"chr16"	1363205	1414751
"ENSG00000197599"	"CCDC154"	"chr16"	1434383	1444556
"ENSG00000103249"	"CLCN7"	"chr16"	1444934	1475084
"ENSG00000100726"	"TELO2"	"chr16"	1493344	1510457
"ENSG00000187535"	"IFT140"	"chr16"	1510427	1612072
"ENSG00000131634"	"TMEM204"	"chr16"	1528688	1555580
"ENSG00000007545"	"CRAMP1"	"chr16"	1612337	1677908
"ENSG00000138834"	"MAPK8IP3"	"chr16"	1706183	1770351
"ENSG00000103024"	"NME3"	"chr16"	1770320	1771561
"ENSG00000074071"	"MRPS34"	"chr16"	1771890	1773150
"ENSG00000197774"	"EME2"	"chr16"	1772810	1781708
"ENSG00000162032"	"SPSB3"	"chr16"	1776712	1793700
"ENSG00000099769"	"IGFALS"	"chr16"	1790413	1794971
"ENSG00000162040"	"HS3ST6"	"chr16"	1911475	1918415
"ENSG00000198736"	"MSRB1"	"chr16"	1938229	1943293
