hyper_cohort	probeID	bin_chr	bin_start	bin_end	cpg_count
TCGA-ESCA	cg12726354	chr15	28097101	28097400	31
TCGA-ESCA	cg22256433	chr17	8039401	8039700	16
TCGA-ESCA	cg01622385	chr2	114662101	114662400	26
TCGA-ESCA	cg02065637	chr20	63177601	63177900	44
TCGA-ESCA	cg14564076	chr7	153887701	153888000	26
TCGA-ESCA	cg11041060	chr6	168440701	168441000	27
TCGA-ESCA	cg15365032	chr9	97848301	97848600	19
TCGA-ESCA	cg12122146	chr12	129903601	129903900	32
TCGA-ESCA	cg09786257	chr5	96432901	96433200	13
TCGA-ESCA	cg19656282	chr2	74515501	74515800	28
TCGA-ESCA	cg13249925	chr9	98707801	98708100	24
TCGA-ESCA	cg14323675	chr9	17907001	17907300	21
TCGA-ESCA	cg07440398	chr14	99246601	99246900	17
TCGA-ESCA	cg15848350	chr3	128607901	128608200	22
TCGA-ESCA	cg20501518	chr3	158103901	158104200	9
TCGA-ESCA	cg00741624	chr14	93430801	93431100	20
TCGA-ESCA	cg09780241	chr4	110614201	110614500	15
TCGA-ESCA	cg03840073	chr15	76343101	76343400	17
TCGA-ESCA	cg00619978	chr5	180618901	180619200	46
TCGA-ESCA	cg18633684	chr12	104303401	104303700	23
TCGA-ESCA	cg04938315	chr1	152107801	152108100	21
TCGA-ESCA	cg21837192	chr12	54004801	54005100	15
TCGA-ESCA	cg12665460	chr19	52453201	52453500	11
TCGA-ESCA	cg24119798	chr11	45355201	45355500	12
TCGA-ESCA	cg03329976	chr8	54457501	54457800	17
TCGA-ESCA	cg16419354	chr1	179744101	179744400	31
TCGA-ESCA	cg25496678	chr10	117139801	117140100	23
TCGA-ESCA	cg15074709	chr13	111893101	111893400	23
TCGA-ESCA	cg18315960	chr13	57629701	57630000	23
TCGA-ESCA	cg24789723	chr10	100741501	100741800	14
TCGA-ESCA	cg24864887	chr15	76343101	76343400	17
TCGA-ESCA	cg02430935	chr10	123149401	123149700	19
TCGA-ESCA	cg09735465	chr9	117744901	117745200	35
TCGA-ESCA	cg15347189	chr3	187670101	187670400	25
TCGA-ESCA	cg20157525	chr1	6243901	6244200	8
TCGA-ESCA	cg09224821	chr17	82371901	82372200	37
TCGA-ESCA	cg23696752	chr6	146028001	146028300	13
TCGA-ESCA	cg08146323	chr19	56671501	56671800	26
TCGA-ESCA	cg00813378	chr1	1539601	1539900	35
TCGA-ESCA	cg14614211	chr10	27745201	27745500	24
TCGA-ESCA	cg02124383	chr7	8435401	8435700	18
TCGA-ESCA	cg22319784	chr5	181059601	181059900	30
TCGA-ESCA	cg17076890	chr10	23192401	23192700	28
TCGA-ESCA	cg16794506	chr2	118842301	118842600	15
TCGA-ESCA	cg21867345	chr3	44554801	44555100	14
TCGA-ESCA	cg08550101	chr7	20784301	20784600	39
TCGA-ESCA	cg18252309	chr7	153886501	153886800	25
TCGA-ESCA	cg05103917	chr4	110612101	110612400	17
TCGA-ESCA	cg06681768	chr17	49972501	49972800	21
TCGA-ESCA	cg06779672	chr6	1377901	1378200	8
TCGA-ESCA	cg05221748	chr5	123285301	123285600	11
TCGA-ESCA	cg21575509	chr3	138939601	138939900	23
TCGA-ESCA	cg18894648	chr5	88678501	88678800	15
TCGA-ESCA	cg04327538	chr10	124448101	124448400	15
TCGA-ESCA	cg00126148	chr4	110612101	110612400	17
TCGA-ESCA	cg05965288	chr16	32811601	32811900	37
TCGA-ESCA	cg03462380	chr15	26867701	26868000	39
TCGA-ESCA	cg12507795	chr2	118854301	118854600	6
TCGA-ESCA	cg09147985	chr11	40293001	40293300	15
TCGA-ESCA	cg05345286	chr6	41638801	41639100	17
TCGA-ESCA	cg02712224	chr12	114396301	114396600	18
TCGA-ESCA	cg24001710	chr2	118848901	118849200	19
TCGA-ESCA	cg21305834	chr6	98843401	98843700	20
TCGA-ESCA	cg25681339	chr17	1270801	1271100	46
TCGA-ESCA	cg07664198	chr7	136869001	136869300	19
TCGA-ESCA	cg23478293	chr14	56812501	56812800	9
TCGA-ESCA	cg22606224	chr19	12155401	12155700	9
TCGA-ESCA	cg07800665	chr19	21474901	21475200	25
TCGA-ESCA	cg20581321	chr2	98346901	98347200	24
TCGA-ESCA	cg19507206	chr10	101284201	101284500	33
TCGA-ESCA	cg06737561	chr10	49613401	49613700	16
TCGA-ESCA	cg22006640	chr4	110610601	110610900	18
TCGA-ESCA	cg21512644	chr4	155208601	155208900	19
TCGA-ESCA	cg16407471	chr11	43581301	43581600	28
TCGA-ESCA	cg10957151	chr2	176122201	176122500	31
TCGA-ESCA	cg02541778	chr8	54470101	54470400	32
TCGA-ESCA	cg06419850	chr17	4785301	4785600	29
TCGA-ESCA	cg24116870	chr12	43552201	43552500	27
TCGA-ESCA	cg07203423	chr2	74515801	74516100	41
TCGA-ESCA	cg26675654	chr7	1230001	1230300	27
TCGA-ESCA	cg14741939	chr3	147409201	147409500	28
TCGA-ESCA	cg18582824	chr2	124024801	124025100	14
TCGA-ESCA	cg03226000	chr16	55656301	55656600	21
TCGA-ESCA	cg08291024	chr1	165354901	165355200	20
TCGA-ESCA	cg03218797	chr12	54005401	54005700	15
TCGA-ESCA	cg15712559	chr20	59605501	59605800	26
TCGA-ESCA	cg02739346	chr2	118842901	118843200	26
TCGA-ESCA	cg25371634	chr2	176116501	176116800	28
TCGA-ESCA	cg10084644	chr7	100177801	100178100	24
TCGA-ESCA	cg17971015	chr19	12195301	12195600	19
TCGA-ESCA	cg03672342	chr10	8052001	8052300	18
TCGA-ESCA	cg02589791	chr7	64495201	64495500	18
TCGA-ESCA	cg13361779	chr19	37468801	37469100	21
TCGA-ESCA	cg01471196	chr20	46513201	46513500	24
TCGA-ESCA	cg24054190	chr3	192514801	192515100	34
TCGA-ESCA	cg02643054	chr7	27166801	27167100	15
TCGA-ESCA	cg11164400	chr7	94907401	94907700	18
TCGA-ESCA	cg09222023	chr3	138950401	138950700	14
TCGA-ESCA	cg19516105	chr1	26225101	26225400	23
TCGA-ESCA	cg18488075	chr19	44051101	44051400	13
TCGA-ESCA	cg18832897	chr9	92807401	92807700	18
TCGA-ESCA	cg23352722	chr8	22231801	22232100	17
TCGA-ESCA	cg06992285	chr8	98939701	98940000	17
TCGA-ESCA	cg04431946	chr2	47570401	47570700	42
TCGA-ESCA	cg05844247	chr20	21713701	21714000	18
TCGA-ESCA	cg13927566	chr1	90706501	90706800	30
TCGA-ESCA	cg00515457	chr19	34905001	34905300	29
TCGA-ESCA	cg08605326	chr17	52159801	52160100	13
TCGA-ESCA	cg25062778	chr14	56798401	56798700	21
TCGA-ESCA	cg13215970	chr4	73998601	73998900	13
TCGA-ESCA	cg23694248	chr12	70920301	70920600	10
TCGA-ESCA	cg06062984	chr3	22372201	22372500	24
TCGA-ESCA	cg08361126	chr10	15720001	15720300	13
TCGA-ESCA	cg20162381	chr12	3200701	3201000	34
TCGA-ESCA	cg13732857	chr2	44802301	44802600	8
TCGA-ESCA	cg11930400	chr4	110612701	110613000	14
TCGA-ESCA	cg26954968	chr6	100455601	100455900	25
TCGA-ESCA	cg02991085	chr20	31485601	31485900	18
TCGA-ESCA	cg07246273	chr12	118774501	118774800	13
TCGA-ESCA	cg05667379	chr2	115163101	115163400	13
TCGA-ESCA	cg24139093	chr15	96948001	96948300	20
TCGA-ESCA	cg22627293	chr1	50427301	50427600	18
TCGA-ESCA	cg05085500	chr6	19691701	19692000	27
TCGA-ESCA	cg06498267	chr5	45695701	45696000	36
TCGA-ESCA	cg05236677	chr8	98939701	98940000	17
TCGA-ESCA	cg18710784	chr11	132943501	132943800	28
TCGA-ESCA	cg04991036	chr14	28774501	28774800	15
TCGA-ESCA	cg00824767	chr10	23199301	23199600	26
TCGA-ESCA	cg22762091	chr8	131040301	131040600	19
TCGA-ESCA	cg09169953	chr4	110633701	110634000	17
TCGA-ESCA	cg09907509	chr13	36674101	36674400	22
TCGA-ESCA	cg14290904	chr14	36517201	36517500	28
TCGA-ESCA	cg15662768	chr20	62220601	62220900	16
TCGA-ESCA	cg13674575	chr17	68198701	68199000	22
TCGA-ESCA	cg19672997	chr14	47675101	47675400	20
TCGA-ESCA	cg05577810	chr2	78993301	78993600	16
TCGA-ESCA	cg02473540	chr19	58059001	58059300	33
TCGA-ESCA	cg12338552	chr20	710101	710400	35
TCGA-ESCA	cg04355159	chr4	110612701	110613000	14
TCGA-ESCA	cg24575234	chr7	136869001	136869300	19
TCGA-ESCA	cg24713204	chr19	56508001	56508300	23
TCGA-ESCA	cg13850380	chr1	1539601	1539900	35
TCGA-ESCA	cg11017318	chr14	61813201	61813500	14
TCGA-ESCA	cg16254309	chr7	146116801	146117100	25
TCGA-ESCA	cg03705912	chr5	16179001	16179300	41
TCGA-ESCA	cg01853561	chr21	36747901	36748200	43
TCGA-ESCA	cg15060012	chr19	57935401	57935700	11
TCGA-ESCA	cg14582763	chr19	52453201	52453500	11
TCGA-ESCA	cg16587616	chr6	62286001	62286300	32
TCGA-ESCA	cg08307030	chr15	76341901	76342200	18
TCGA-ESCA	cg06942685	chr19	56367901	56368200	22
TCGA-ESCA	cg11145160	chr3	170418301	170418600	14
TCGA-ESCA	cg19248602	chr17	48718501	48718800	14
TCGA-ESCA	cg03029734	chr6	101393101	101393400	11
TCGA-ESCA	cg07915434	chr10	101134501	101134800	14
TCGA-ESCA	cg12456714	chr5	16180201	16180500	21
TCGA-ESCA	cg17993900	chr8	54467401	54467700	30
TCGA-ESCA	cg22370006	chr6	154039201	154039500	17
TCGA-ESCA	cg02935338	chr18	28175701	28176000	21
TCGA-ESCA	cg12919006	chr2	124025101	124025400	28
TCGA-ESCA	cg25738714	chr1	50427901	50428200	18
TCGA-ESCA	cg17088073	chr1	50417101	50417400	17
TCGA-ESCA	cg16902509	chr10	15719101	15719400	8
TCGA-ESCA	cg27109129	chr4	73998301	73998600	24
TCGA-ESCA	cg26574334	chr6	133855201	133855500	10
TCGA-ESCA	cg17101296	chr8	144700201	144700500	26
TCGA-ESCA	cg22190437	chr2	228180601	228180900	20
TCGA-ESCA	cg22335876	chr7	122300401	122300700	19
TCGA-ESCA	cg08315202	chr7	98616601	98616900	37
TCGA-ESCA	cg10959353	chr2	228181501	228181800	25
TCGA-ESCA	cg00089091	chr2	115162201	115162500	31
TCGA-ESCA	cg00945234	chr1	50420701	50421000	21
TCGA-ESCA	cg26078977	chr5	59893501	59893800	27
TCGA-ESCA	cg06383163	chr8	138496801	138497100	38
TCGA-ESCA	cg01718322	chr14	95875801	95876100	25
TCGA-ESCA	cg04059773	chr19	53058301	53058600	27
TCGA-ESCA	cg19623717	chr20	5315701	5316000	22
TCGA-ESCA	cg24589459	chr2	197786401	197786700	23
TCGA-ESCA	cg21319932	chr6	1379401	1379700	29
TCGA-ESCA	cg10422777	chr9	77016301	77016600	25
TCGA-ESCA	cg14134497	chr18	34494001	34494300	30
TCGA-ESCA	cg10182317	chr6	122996101	122996400	31
TCGA-ESCA	cg16852704	chr2	74516101	74516400	35
TCGA-ESCA	cg07780543	chr12	21941701	21942000	17
TCGA-ESCA	cg21095561	chr17	44656501	44656800	23
TCGA-ESCA	cg00692611	chr4	110629801	110630100	7
TCGA-ESCA	cg06717565	chr12	114398401	114398700	11
TCGA-ESCA	cg02111032	chr7	20778301	20778600	23
TCGA-ESCA	cg13077545	chr17	43755301	43755600	42
TCGA-ESCA	cg24190603	chr6	83708701	83709000	41
TCGA-ESCA	cg26071016	chr1	110675101	110675400	31
TCGA-ESCA	cg07380705	chr5	76953901	76954200	27
TCGA-ESCA	cg14421192	chr10	49397401	49397700	21
TCGA-ESCA	cg21523908	chr1	177171301	177171600	21
TCGA-ESCA	cg13601435	chr9	117744901	117745200	35
TCGA-ESCA	cg12938003	chr4	108171301	108171600	14
TCGA-ESCA	cg09907936	chr19	58059001	58059300	33
TCGA-ESCA	cg10931190	chr5	111070801	111071100	17
TCGA-ESCA	cg01527159	chr19	21474601	21474900	14
TCGA-ESCA	cg03190266	chr16	86568901	86569200	13
TCGA-ESCA	cg09896622	chr13	101916001	101916300	18
TCGA-ESCA	cg08575537	chr7	100720801	100721100	34
TCGA-ESCA	cg10819259	chr1	236686801	236687100	30
TCGA-ESCA	cg19488874	chr2	174328801	174329100	18
TCGA-ESCA	cg12508343	chr3	125357101	125357400	26
TCGA-ESCA	cg24196693	chr10	84195001	84195300	17
TCGA-ESCA	cg18430128	chr19	58059001	58059300	33
TCGA-ESCA	cg02885007	chr2	176122801	176123100	37
TCGA-ESCA	cg06163371	chr1	37765201	37765500	11
TCGA-ESCA	cg14977066	chr1	50425501	50425800	23
TCGA-ESCA	cg25293896	chr19	45217501	45217800	34
TCGA-ESCA	cg16871828	chr1	145960201	145960500	14
TCGA-ESCA	cg00875511	chr4	103719901	103720200	18
TCGA-ESCA	cg26717041	chr11	44311201	44311500	16
TCGA-ESCA	cg15191648	chr18	78980101	78980400	42
TCGA-ESCA	cg25439496	chr6	84774901	84775200	19
TCGA-ESCA	cg12751948	chr10	131980801	131981100	18
TCGA-ESCA	cg16508480	chr5	5139601	5139900	35
TCGA-ESCA	cg16260421	chr1	50023501	50023800	15
TCGA-ESCA	cg07935790	chr2	118854601	118854900	14
TCGA-ESCA	cg19509330	chr6	50724601	50724900	16
TCGA-ESCA	cg23949389	chr5	123285301	123285600	11
TCGA-ESCA	cg07035165	chr5	114362701	114363000	34
TCGA-ESCA	cg04931216	chr1	50419201	50419500	31
TCGA-ESCA	cg02305135	chr2	85134301	85134600	27
TCGA-ESCA	cg14514569	chr9	14346001	14346300	24
TCGA-ESCA	cg00768993	chr2	199470901	199471200	20
TCGA-ESCA	cg26014952	chr3	196640101	196640400	7
TCGA-ESCA	cg18229521	chr14	92323801	92324100	24
TCGA-ESCA	cg26320663	chr1	152188801	152189100	17
TCGA-ESCA	cg21064916	chr11	44319001	44319300	13
TCGA-ESCA	cg23234640	chr18	5197201	5197500	24
TCGA-ESCA	cg05771518	chr12	53945401	53945700	11
TCGA-ESCA	cg03080142	chr8	49910101	49910400	16
TCGA-ESCA	cg20405017	chr17	52158001	52158300	32
TCGA-ESCA	cg03469054	chr12	129903301	129903600	31
TCGA-ESCA	cg07777790	chr1	229434301	229434600	22
TCGA-ESCA	cg25763393	chr19	52453501	52453800	22
TCGA-ESCA	cg12917718	chr13	70107601	70107900	25
TCGA-ESCA	cg25820279	chr2	176136901	176137200	23
TCGA-ESCA	cg16913789	chr7	27164101	27164400	13
TCGA-ESCA	cg11811513	chr2	184597501	184597800	11
TCGA-ESCA	cg27376707	chr16	6483001	6483300	30
TCGA-ESCA	cg03496114	chr17	82371301	82371600	23
TCGA-ESCA	cg00744413	chr15	97652701	97653000	13
TCGA-ESCA	cg15112032	chr13	57630001	57630300	21
TCGA-ESCA	cg10375890	chr1	50426701	50427000	21
TCGA-ESCA	cg10716835	chr10	93074701	93075000	27
TCGA-ESCA	cg15031661	chr1	240093301	240093600	27
TCGA-ESCA	cg05783139	chr2	197786101	197786400	32
TCGA-ESCA	cg07047570	chr20	20370001	20370300	14
TCGA-ESCA	cg17713376	chr6	27557701	27558000	10
TCGA-ESCA	cg22902266	chr9	93951901	93952200	26
TCGA-ESCA	cg25148589	chr4	157220701	157221000	8
TCGA-ESCA	cg14092626	chr9	77014501	77014800	10
TCGA-ESCA	cg02216246	chr11	128694601	128694900	22
TCGA-ESCA	cg11751806	chr12	43551601	43551900	31
TCGA-ESCA	cg05215925	chr6	154039201	154039500	17
TCGA-ESCA	cg06437464	chr6	127120501	127120800	16
TCGA-ESCA	cg01007828	chr16	62036401	62036700	24
TCGA-ESCA	cg00824018	chr10	103277701	103278000	41
TCGA-ESCA	cg04145134	chr14	99231301	99231600	22
TCGA-ESCA	cg02820514	chr3	147406801	147407100	7
TCGA-ESCA	cg11706177	chr7	155787001	155787300	24
TCGA-ESCA	cg03817667	chr7	54542101	54542400	36
TCGA-ESCA	cg09516959	chr7	30681601	30681900	19
TCGA-ESCA	cg07212852	chr20	21703501	21703800	18
TCGA-ESCA	cg15916004	chr11	66048901	66049200	25
TCGA-ESCA	cg20271517	chr4	155208601	155208900	19
TCGA-ESCA	cg16927040	chr3	187670101	187670400	25
TCGA-ESCA	cg17189639	chr17	60138901	60139200	29
TCGA-ESCA	cg14556896	chr12	21942001	21942300	18
TCGA-ESCA	cg26787220	chr19	45217501	45217800	34
TCGA-ESCA	cg09047573	chr5	138139201	138139500	14
TCGA-ESCA	cg25451958	chr8	25001401	25001700	17
TCGA-ESCA	cg03625287	chr13	23547001	23547300	19
TCGA-ESCA	cg07076175	chr8	52565401	52565700	36
TCGA-ESCA	cg02150135	chr6	27312001	27312300	26
TCGA-ESCA	cg27235148	chr11	45355201	45355500	12
TCGA-ESCA	cg20670075	chr12	113471401	113471700	26
TCGA-ESCA	cg12124386	chr1	190475401	190475700	11
TCGA-ESCA	cg03289872	chr19	56477701	56478000	27
TCGA-ESCA	cg07073391	chr10	15719701	15720000	35
TCGA-ESCA	cg09698471	chr5	63961801	63962100	16
TCGA-ESCA	cg18669186	chr2	118857001	118857300	21
TCGA-ESCA	cg16150752	chr5	16179901	16180200	37
TCGA-ESCA	cg14304469	chr7	54542401	54542700	17
TCGA-ESCA	cg05827312	chr13	27820801	27821100	11
TCGA-ESCA	cg10514097	chr16	86511001	86511300	32
TCGA-ESCA	cg12582959	chr19	55647601	55647900	9
TCGA-ESCA	cg14991487	chr2	176122501	176122800	26
TCGA-ESCA	cg05168977	chr7	98617801	98618100	26
TCGA-ESCA	cg09628195	chr1	119008501	119008800	15
TCGA-ESCA	cg09321400	chr16	55656301	55656600	21
TCGA-ESCA	cg06668555	chr8	138496801	138497100	38
TCGA-ESCA	cg18652721	chr5	2753701	2754000	10
TCGA-ESCA	cg08211028	chr10	107915101	107915400	15
TCGA-ESCA	cg03504865	chr4	107036701	107037000	9
TCGA-ESCA	cg04330513	chr14	36514201	36514500	19
TCGA-ESCA	cg16652063	chr17	6713101	6713400	30
TCGA-ESCA	cg18301583	chr19	53132701	53133000	23
TCGA-ESCA	cg15142222	chr1	20552101	20552400	11
TCGA-ESCA	cg21376883	chr1	236686801	236687100	30
TCGA-ESCA	cg18633693	chr10	23693401	23693700	22
TCGA-ESCA	cg04930469	chr17	43755301	43755600	42
TCGA-ESCA	cg24333629	chr2	228181201	228181500	16
TCGA-ESCA	cg07682600	chr5	180648901	180649200	49
TCGA-ESCA	cg17296588	chr11	35943301	35943600	7
TCGA-ESCA	cg18856581	chr14	47675701	47676000	31
TCGA-ESCA	cg01839464	chr18	52341901	52342200	21
TCGA-ESCA	cg15250797	chr2	119523901	119524200	19
TCGA-ESCA	cg24411929	chr19	56478301	56478600	14
TCGA-ESCA	cg14647451	chr4	65668201	65668500	12
TCGA-ESCA	cg14844194	chr2	199659301	199659600	33
TCGA-ESCA	cg01883425	chr6	41638801	41639100	17
TCGA-ESCA	cg06656994	chr1	179743801	179744100	34
TCGA-ESCA	cg03530754	chr12	128266801	128267100	32
TCGA-ESCA	cg22730464	chr5	95619901	95620200	23
TCGA-ESCA	cg06220449	chr1	18637801	18638100	16
TCGA-ESCA	cg17573720	chr12	53965801	53966100	17
TCGA-ESCA	cg12071328	chr11	20669101	20669400	37
TCGA-ESCA	cg00721170	chr4	73998301	73998600	24
TCGA-ESCA	cg15713707	chr5	170503801	170504100	33
TCGA-ESCA	cg09568355	chr2	45001201	45001500	25
TCGA-ESCA	cg22095604	chr18	34223101	34223400	27
TCGA-ESCA	cg22633280	chr10	108912001	108912300	18
TCGA-ESCA	cg22802813	chr12	95548801	95549100	41
TCGA-ESCA	cg09214254	chr6	168440701	168441000	27
TCGA-ESCA	cg12984729	chr15	76341301	76341600	15
TCGA-ESCA	cg04829946	chr10	23191201	23191500	12
TCGA-ESCA	cg05548555	chr3	147406501	147406800	10
TCGA-ESCA	cg08843809	chr17	6776101	6776400	30
TCGA-ESCA	cg03340466	chr1	179743501	179743800	39
TCGA-ESCA	cg02293118	chr7	44310001	44310300	19
TCGA-ESCA	cg17619311	chr3	42906001	42906300	29
TCGA-ESCA	cg22047387	chr12	55020001	55020300	12
TCGA-ESCA	cg24181771	chr6	28738501	28738800	10
TCGA-ESCA	cg13398192	chr13	107865601	107865900	10
TCGA-ESCA	cg13707560	chr5	138138901	138139200	13
TCGA-ESCA	cg26059468	chr8	54457801	54458100	34
TCGA-ESCA	cg03513964	chr1	74673901	74674200	8
TCGA-ESCA	cg03177042	chr6	166008901	166009200	17
TCGA-ESCA	cg16814808	chr7	64889101	64889400	27
TCGA-ESCA	cg07790170	chr4	110616301	110616600	9
TCGA-ESCA	cg27294268	chr14	36514201	36514500	19
TCGA-ESCA	cg13923530	chr8	544201	544500	37
TCGA-ESCA	cg05376374	chr11	43581301	43581600	28
TCGA-ESCA	cg19068510	chr13	99989701	99990000	19
TCGA-ESCA	cg07665387	chr4	133148101	133148400	22
TCGA-ESCA	cg01602690	chr2	176122201	176122500	31
TCGA-ESCA	cg25328184	chr5	111070501	111070800	10
TCGA-ESCA	cg25277187	chr14	52068301	52068600	18
TCGA-ESCA	cg24632241	chr2	80303101	80303400	27
TCGA-ESCA	cg03865667	chr13	57631501	57631800	11
TCGA-ESCA	cg08464190	chr16	49281301	49281600	30
TCGA-ESCA	cg16809460	chr1	50419501	50419800	26
TCGA-ESCA	cg21815667	chr2	176129101	176129400	15
TCGA-ESCA	cg13158481	chr2	176123701	176124000	15
TCGA-ESCA	cg09735723	chr10	104642101	104642400	12
TCGA-ESCA	cg20121142	chr7	19118101	19118400	22
TCGA-ESCA	cg18902742	chr3	62372701	62373000	26
TCGA-ESCA	cg24871798	chr6	50849701	50850000	12
TCGA-ESCA	cg19586288	chr7	103988701	103989000	12
TCGA-ESCA	cg04606861	chr12	132329101	132329400	29
TCGA-GBM	cg26555777	chr19	38394301	38394600	8
TCGA-GBM	cg07248017	chr4	8228701	8229000	9
TCGA-GBM	cg05939380	chr15	89487001	89487300	13
TCGA-GBM	cg16679386	chr20	3751501	3751800	38
TCGA-GBM	cg04871131	chr7	95324701	95325000	4
TCGA-GBM	cg00893603	chr13	26012701	26013000	9
TCGA-GBM	cg15098077	chr1	34176301	34176600	4
TCGA-GBM	cg20223950	chr10	133104001	133104300	14
TCGA-GBM	cg21241902	chr9	137453401	137453700	21
TCGA-GBM	cg15544721	chr7	94907101	94907400	5
TCGA-GBM	cg02027717	chr3	13548601	13548900	4
TCGA-GBM	cg05155775	chr1	219928801	219929100	12
TCGA-GBM	cg01777121	chr3	55482901	55483200	24
TCGA-GBM	cg03854071	chr19	19515601	19515900	17
TCGA-GBM	cg23819145	chr2	24360901	24361200	13
TCGA-GBM	cg27247782	chr7	158974201	158974500	24
TCGA-GBM	cg00524963	chr1	15246901	15247200	13
TCGA-GBM	cg05537653	chr11	47590501	47590800	31
TCGA-GBM	cg27625732	chr9	128786701	128787000	9
TCGA-GBM	cg27561350	chr15	55290601	55290900	12
TCGA-GBM	cg06814892	chr5	116084101	116084400	4
TCGA-GBM	cg19307500	chr19	1083001	1083300	25
TCGA-GBM	cg00283472	chr11	6630601	6630900	25
TCGA-GBM	cg20017253	chr19	45940501	45940800	32
TCGA-GBM	cg09893100	chr8	60714301	60714600	21
TCGA-GBM	cg21727145	chr15	100917901	100918200	20
TCGA-GBM	cg18743464	chr2	130332301	130332600	16
TCGA-GBM	cg14580859	chr9	120929401	120929700	5
TCGA-GBM	cg02073525	chr15	78264001	78264300	22
TCGA-GBM	cg27183007	chr7	50093101	50093400	33
TCGA-GBM	cg19874640	chr5	135191701	135192000	9
TCGA-GBM	cg26122129	chr8	30383401	30383700	10
TCGA-GBM	cg14196170	chr6	32095801	32096100	20
TCGA-GBM	cg12334759	chr19	474901	475200	17
TCGA-GBM	cg10909152	chr14	104751901	104752200	30
TCGA-GBM	cg26188543	chr3	148947001	148947300	12
TCGA-GBM	cg25938347	chr15	75346801	75347100	16
TCGA-GBM	cg00644554	chr12	113093401	113093700	24
TCGA-GBM	cg26226879	chr1	34176601	34176900	19
TCGA-GBM	cg07143635	chr16	11587501	11587800	9
TCGA-GBM	cg20788021	chr3	58178401	58178700	6
TCGA-GBM	cg09193477	chr7	158395801	158396100	16
TCGA-GBM	cg01974875	chr17	6714001	6714300	23
TCGA-GBM	cg17508941	chr7	19143601	19143900	11
TCGA-GBM	cg02047809	chr14	30873901	30874200	15
TCGA-GBM	cg02746781	chr16	67992901	67993200	17
TCGA-GBM	cg01076874	chr19	39307201	39307500	26
TCGA-GBM	cg03304019	chr10	132185401	132185700	27
TCGA-GBM	cg24899138	chr5	135536701	135537000	7
TCGA-GBM	cg05924254	chr4	1113901	1114200	16
TCGA-GBM	cg07822074	chr17	45021301	45021600	4
TCGA-GBM	cg05620923	chr19	1466401	1466700	24
TCGA-GBM	cg01444487	chr19	33684001	33684300	10
TCGA-GBM	cg19993219	chr6	160767601	160767900	4
TCGA-GBM	cg24642820	chr3	13420801	13421100	10
TCGA-GBM	cg02008416	chr1	54980101	54980400	11
TCGA-GBM	cg25352980	chr1	3718501	3718800	10
TCGA-GBM	cg25071869	chr8	22009801	22010100	7
TCGA-GBM	cg18107425	chr15	89776201	89776500	19
TCGA-GBM	cg01232511	chr16	2817301	2817600	28
TCGA-GBM	cg23633547	chr1	213984001	213984300	10
TCGA-GBM	cg08239375	chr2	27664501	27664800	13
TCGA-HNSC	cg08004073	chr3	169659901	169660200	14
TCGA-HNSC	cg17465112	chr1	37255201	37255500	11
TCGA-HNSC	cg12676702	chr2	172089001	172089300	7
TCGA-HNSC	cg00292107	chr1	32334601	32334900	9
TCGA-HNSC	cg21994045	chr19	10293001	10293300	26
TCGA-HNSC	cg23107878	chr1	152188801	152189100	17
TCGA-HNSC	cg06132400	chr7	38311201	38311500	22
TCGA-HNSC	cg01993576	chr6	44219701	44220000	18
TCGA-HNSC	cg13911052	chr2	176114101	176114400	11
TCGA-HNSC	cg17680088	chr9	124450801	124451100	6
TCGA-HNSC	cg20966754	chr17	49013701	49014000	26
TCGA-HNSC	cg03479694	chr2	172088101	172088400	19
TCGA-HNSC	cg19313023	chr4	53905801	53906100	5
TCGA-HNSC	cg16276063	chr3	181703701	181704000	17
TCGA-HNSC	cg21545313	chr3	169664101	169664400	9
TCGA-HNSC	cg08358803	chr5	170861701	170862000	36
TCGA-HNSC	cg08234878	chr14	73270201	73270500	28
TCGA-HNSC	cg19066078	chr12	130086601	130086900	11
TCGA-HNSC	cg10364249	chr1	27575101	27575400	21
TCGA-HNSC	cg13879776	chr3	170418301	170418600	14
TCGA-HNSC	cg17110400	chr17	42780001	42780300	7
TCGA-HNSC	cg26356061	chr19	57935401	57935700	11
TCGA-HNSC	cg11586189	chr1	201888301	201888600	8
TCGA-HNSC	cg26033710	chr2	75198901	75199200	11
TCGA-HNSC	cg25298189	chr19	935101	935400	18
TCGA-HNSC	cg15804598	chr17	45147001	45147300	8
TCGA-HNSC	cg24765360	chr2	118853401	118853700	13
TCGA-HNSC	cg26050864	chr1	209676001	209676300	10
TCGA-HNSC	cg23165310	chr3	181704301	181704600	18
TCGA-HNSC	cg02754945	chr1	152189401	152189700	14
TCGA-HNSC	cg27103130	chr19	49423201	49423500	16
TCGA-HNSC	cg27633342	chr15	52296001	52296300	5
TCGA-HNSC	cg20705627	chr7	953401	953700	12
TCGA-HNSC	cg03495498	chr14	97411801	97412100	10
TCGA-HNSC	cg00720845	chr4	780601	780900	8
TCGA-HNSC	cg25004071	chr20	62064301	62064600	23
TCGA-HNSC	cg06866033	chr5	142012201	142012500	11
TCGA-HNSC	cg23896164	chr21	36748201	36748500	28
TCGA-HNSC	cg23500537	chr5	141040201	141040500	13
TCGA-HNSC	cg15928398	chr3	186930001	186930300	16
TCGA-HNSC	cg10709593	chr2	172088101	172088400	19
TCGA-HNSC	cg02556393	chr3	169148701	169149000	6
